#,Industry,Company Name,Approx. Employees,Focus Keywords,Mission / Bio
  AEROSPACE & DEFENSE,,,,,
1,Aerospace & Defense,Airbus,"135,000","Commercial aircraft, helicopters, defense, space systems","Airbus designs, manufactures, and delivers aerospace products and services to customers worldwide, from commercial jets to satellites."
2,Aerospace & Defense,Barnes Group Inc,"5,000","Precision components, aerospace parts, industrial tooling",Barnes Group manufactures precision aerospace components and industrial tooling solutions for demanding applications globally.
3,Aerospace & Defense,Blue Origin,"10,000","Space launch, rockets, lunar landers, commercial spaceflight",Blue Origin develops reusable launch vehicles to make access to space more affordable and enable millions of people to live and work in space.
4,Aerospace & Defense,Draper,"2,000","Guidance systems, autonomy, microelectronics, biomedical","Draper is a non-profit engineering lab that designs and develops cutting-edge technology for national security, space, and health."
5,Aerospace & Defense,"General Dynamics, Inc.","103,000","Combat vehicles, submarines, IT services, business aviation","General Dynamics delivers mission-critical products and services across aerospace, marine, combat, and information technology domains."
6,Aerospace & Defense,IQT (In-Q-Tel),200,"Venture capital, national security tech, emerging technologies",IQT is a non-profit strategic investor that identifies and accelerates emerging technologies critical to U.S. national security.
7,Aerospace & Defense,Lockheed Martin Corporation,"122,000","Fighter jets, missiles, satellites, radar, hypersonics",Lockheed Martin is a global security and aerospace company that develops advanced defense technologies and systems for customers worldwide.
8,Aerospace & Defense,Northrop Grumman (NGIC/referenced),"95,000","Stealth aircraft, space systems, cybersecurity, autonomous","Northrop Grumman provides innovative systems for global security and space exploration, specializing in stealth and autonomous platforms."
9,Aerospace & Defense,Sandia National Laboratories,"17,000","Nuclear weapons science, energy, national security research","Sandia National Laboratories is a federally funded R&D center that delivers essential science, technology, and engineering solutions for national security."
10,Aerospace & Defense,SpaceX,"13,000","Rockets, Starship, Starlink, satellite internet, reusability",SpaceX designs and launches advanced rockets and spacecraft with the mission of making humanity multiplanetary.
11,Aerospace & Defense,Teledyne Technologies,"17,000","Sensors, instrumentation, imaging, underwater systems","Teledyne Technologies provides sophisticated electronic components and systems for defense, environmental monitoring, and industrial applications."
  AGRICULTURE & FOOD,,,,,
12,Agriculture & Food,"Cargill, Incorporated","155,000","Grain trading, food ingredients, animal nutrition, biofuel","Cargill connects farmers with markets, providing food, agriculture, financial, and industrial products across 70+ countries."
13,Agriculture & Food,Dairy Farmers of America,"10,000","Dairy cooperative, milk processing, cheese, butter",Dairy Farmers of America is a national dairy cooperative that markets member milk and produces dairy products for consumers worldwide.
14,Agriculture & Food,"PepsiCo, Inc.","318,000","Beverages, snacks, nutrition, global brands, supply chain","PepsiCo is a global food and beverage leader whose portfolio of iconic brands includes Pepsi, Lay's, Gatorade, and Quaker."
15,Agriculture & Food,The Clorox Company,"8,800","Cleaning products, health & wellness, household brands","Clorox is a consumer goods company that makes trusted cleaning, health, and lifestyle brands sold in over 100 countries."
  CONSTRUCTION & ENGINEERING,,,,,
16,Construction & Engineering,AECOM,"87,000","Infrastructure design, program management, environmental, transportation","AECOM delivers professional services across the project lifecycle—planning, design, engineering, and construction management."
17,Construction & Engineering,Arup US Inc.,"17,000","Structural engineering, sustainability, urban design, bridges","Arup is an independent global firm of designers, planners, and engineers committed to sustainable development."
18,Construction & Engineering,"Bentley Systems, Inc.","5,000","Infrastructure software, BIM, digital twins, civil design",Bentley Systems develops software for engineers advancing infrastructure—from roads and bridges to water networks and power grids.
19,Construction & Engineering,Bohler Engineering,900,"Site/civil engineering, land development, permitting",Bohler Engineering provides land development and civil engineering services that help clients bring complex real estate projects to life.
